"id","bank_id","base_rate","region_id","region_group","mortgage_type","real_estate_type","object_type","benefit_program","loan_term_min","loan_term_max","income_confirmation","loan_amount_min","loan_amount_max","down_payment_rate_min","down_payment_rate_max","has_life_insurance","is_not_citizen","employment_type","registration_type","is_active","created_at","shadow_id"
100672,4,13.55,{},regions,mortgage,{secondary},{house},noProgram,36,420,{confirmation},300000,15000000,25.00,99.99,"{true,false}",{false},"{businessOwner,entrepreneur,selfEmployed,employee}","{permanent,temporary,noRegistration}",false,2023-04-04 18:18:03.000 +0300,100672
100673,4,13.55,"{1,4593,2,4588}",,mortgage,{secondary},{house},noProgram,36,420,{noConfirmation},600000,30000000,30.00,99.99,"{true,false}",{false},"{businessOwner,entrepreneur,selfEmployed,employee}","{permanent,temporary,noRegistration}",false,2023-04-04 18:18:03.000 +0300,100673
100674,4,13.55,{},regions,mortgage,{secondary},{house},noProgram,36,420,{noConfirmation},300000,15000000,30.00,99.99,"{true,false}",{false},"{businessOwner,entrepreneur,selfEmployed,employee}","{permanent,temporary,noRegistration}",false,2023-04-04 18:18:03.000 +0300,100674
100647,4,5.50,"{1,4593,2,4588}",,mortgage,{houseBuilding},{house},family,36,420,{confirmation},600000,12000000,25.00,99.99,"{true,false}",{false},"{businessOwner,entrepreneur,selfEmployed,employee}","{permanent,temporary,noRegistration}",false,2023-04-04 18:18:03.000 +0300,100647
100675,4,12.65,{},regions_gte_million,mortgage,"{newBuilding,secondary}",{carPlace},noProgram,36,420,{confirmation},300000,10000000,20.00,99.99,"{true,false}",{false},"{businessOwner,entrepreneur,selfEmployed,employee}","{permanent,temporary,noRegistration}",false,2023-04-04 18:18:03.000 +0300,100675
100676,4,12.65,{},regions_gte_million,mortgage,"{newBuilding,secondary}",{carPlace},noProgram,36,420,{noConfirmation},300000,10000000,30.00,99.99,"{true,false}",{false},"{businessOwner,entrepreneur,selfEmployed,employee}","{permanent,temporary,noRegistration}",false,2023-04-04 18:18:03.000 +0300,100676
100677,4,13.65,"{1,4593,2,4588}",,refinancing,"{newBuilding,secondary}","{flat,apartments}",noProgram,36,420,{confirmation},600000,50000000,10.00,14.99,"{true,false}",{false},"{businessOwner,entrepreneur,selfEmployed,employee}","{permanent,temporary,noRegistration}",false,2023-04-04 18:18:03.000 +0300,100677
100678,4,13.65,{},regions,refinancing,"{newBuilding,secondary}","{flat,apartments}",noProgram,36,420,{confirmation},300000,20000000,10.00,14.99,"{true,false}",{false},"{businessOwner,entrepreneur,selfEmployed,employee}","{permanent,temporary,noRegistration}",false,2023-04-04 18:18:03.000 +0300,100678
100684,4,12.65,{},regions,refinancing,"{newBuilding,secondary}","{flat,apartments}",noProgram,36,420,{noConfirmation},300000,10000000,20.00,99.99,"{true,false}",{false},"{businessOwner,entrepreneur,selfEmployed,employee}","{permanent,temporary,noRegistration}",false,2023-04-04 18:18:03.000 +0300,100684
100686,4,12.65,{},regions,refinancing,{secondary},{house},noProgram,36,420,{confirmation},300000,15000000,25.00,99.99,"{true,false}",{false},"{businessOwner,entrepreneur,selfEmployed,employee}","{permanent,temporary,noRegistration}",false,2023-04-04 18:18:03.000 +0300,100686
