"id","bank_id","base_rate","region_id","region_group","mortgage_type","real_estate_type","object_type","benefit_program","loan_term_min","loan_term_max","income_confirmation","loan_amount_min","loan_amount_max","down_payment_rate_min","down_payment_rate_max","has_life_insurance","is_not_citizen","employment_type","registration_type","is_active","created_at","shadow_id","updated_at"
1254,4,17.20,"{1,4593,2,4588}",,mortgage,{secondary},{house},noProgram,36,420,{confirmation},600000,30000000,20.10,99.99,"{true,false}",{false},"{businessOwner,entrepreneur,selfEmployed,employee}","{permanent,temporary,noRegistration}",false,2023-11-03 19:00:00.000 +0300,101691,2023-11-03 19:00:00.000 +0300
1255,4,17.20,"{1,4593,2,4588}",,mortgage,{houseBuilding},{house},noProgram,36,420,{confirmation},600000,30000000,20.10,99.99,"{true,false}",{false},"{businessOwner,entrepreneur,selfEmployed,employee}","{permanent,temporary,noRegistration}",false,2023-11-03 19:00:00.000 +0300,101692,2023-11-03 19:00:00.000 +0300
1256,4,17.20,{},regions,mortgage,{houseBuilding},{house},noProgram,36,420,{confirmation},300000,15000000,20.10,99.99,"{true,false}",{false},"{businessOwner,entrepreneur,selfEmployed,employee}","{permanent,temporary,noRegistration}",false,2023-11-03 19:00:00.000 +0300,101693,2023-11-03 19:00:00.000 +0300
1206,4,4.85,{},regions_gte_million,mortgage,{newBuilding},{flat},it,36,420,{confirmation},600000,18000000,30.10,99.99,"{true,false}",{false},{employee},"{permanent,temporary,noRegistration}",false,2023-11-03 19:00:00.000 +0300,101549,2023-11-03 19:00:00.000 +0300
1191,4,6.00,"{1,4593,2,4588}",,mortgage,{newBuilding},{flat},family,36,420,{confirmation},600000,12000000,20.10,30.09,"{true,false}",{false},"{businessOwner,entrepreneur,selfEmployed,employee}","{permanent,temporary,noRegistration}",false,2023-11-03 19:00:00.000 +0300,101534,2023-11-03 19:00:00.000 +0300
1192,4,6.00,{},regions,mortgage,{newBuilding},{flat},family,36,420,{confirmation},300000,6000000,20.10,30.09,"{true,false}",{false},"{businessOwner,entrepreneur,selfEmployed,employee}","{permanent,temporary,noRegistration}",false,2023-11-03 19:00:00.000 +0300,101535,2023-11-03 19:00:00.000 +0300
1193,4,5.85,"{1,4593,2,4588}",,mortgage,{newBuilding},{flat},family,36,420,"{confirmation,noConfirmation}",600000,12000000,30.10,99.99,"{true,false}",{false},"{businessOwner,entrepreneur,selfEmployed,employee}","{permanent,temporary,noRegistration}",false,2023-11-03 19:00:00.000 +0300,101536,2023-11-03 19:00:00.000 +0300
1194,4,5.85,{},regions,mortgage,{newBuilding},{flat},family,36,420,"{confirmation,noConfirmation}",300000,6000000,30.10,99.99,"{true,false}",{false},"{businessOwner,entrepreneur,selfEmployed,employee}","{permanent,temporary,noRegistration}",false,2023-11-03 19:00:00.000 +0300,101537,2023-11-03 19:00:00.000 +0300
1195,4,6.00,"{1,4593,2,4588}",,refinancing,{newBuilding},{flat},family,36,420,{confirmation},600000,12000000,20.10,30.09,"{true,false}",{false},"{businessOwner,entrepreneur,selfEmployed,employee}","{permanent,temporary,noRegistration}",false,2023-11-03 19:00:00.000 +0300,101538,2023-11-03 19:00:00.000 +0300
1196,4,6.00,{},regions,refinancing,{newBuilding},{flat},family,36,420,{confirmation},300000,6000000,20.10,30.09,"{true,false}",{false},"{businessOwner,entrepreneur,selfEmployed,employee}","{permanent,temporary,noRegistration}",false,2023-11-03 19:00:00.000 +0300,101539,2023-11-03 19:00:00.000 +0300
